name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria sp. BT304	1702043	S	18	16	34	0.00000
Auritidibacter sp. NML130574	2170745	S	18	1	19	0.00000
Microbacterium sp. CBA3102	2603598	S	100	60	160	0.00001
Microbacterium sp. MPKO10	2989818	S	59	3	62	0.00000
Microbacterium sp. No. 7	1714373	S	52	29	81	0.00000
Microbacterium sp. H1-D42	2925844	S	32	3	35	0.00000
Microbacterium sp. A18JL241	2782166	S	30	4	34	0.00000
Microbacterium sp. CGR1	1696072	S	17	8	25	0.00000
Microbacterium sp. Nx66	2766784	S	12	4	16	0.00000
Microbacterium foliorum	104336	S	42	7	49	0.00000
Cryobacterium soli	2220095	S	34	4	38	0.00000
Cryobacterium sp. SO1	1897061	S	12	1	13	0.00000
Leucobacter sp. H21R-40	2932247	S	13	1	14	0.00000
Leucobacter muris	1935379	S	12	6	18	0.00000
Salinibacterium sp. ZJ450	2708338	S	27	3	30	0.00000
Microterricola viridarii	412690	S	28	5	33	0.00000
Frigoribacterium sp. SL97	2994664	S	14	2	16	0.00000
Protaetiibacter sp. SSC-01	2759943	S	12	3	15	0.00000
Cellulomonas sp. S1-8	2904790	S	29	2	31	0.00000
Cellulomonas sp. zg.Y338	2968084	S	16	2	18	0.00000
Cellulomonas sp. Y8	2591145	S	14	2	16	0.00000
Cellulomonas fimi	1708	S	48	7	55	0.00000
Cellulomonas iranensis	76862	S	22	3	25	0.00000
Actinotalea sp. JY-7876	2758442	S	17	1	18	0.00000
Oerskovia sp. KBS0722	1179673	S	16	2	18	0.00000
Xylanimonas allomyrinae	2509459	S	51	4	55	0.00000
Isoptericola dokdonensis	372663	S	22	3	25	0.00000
Isoptericola variabilis	139208	S	13	2	15	0.00000
Cellulosimicrobium cellulans	1710	S	17	7	24	0.00000
Dermabacter vaginalis	1630135	S	53	6	59	0.00000
Brachybacterium avium	2017485	S	27	1	28	0.00000
Brachybacterium huguangmaarense	1652028	S	10	2	12	0.00000
Serinicoccus marinus	247333	S	23	5	28	0.00000
Serinicoccus chungangensis	767452	S	15	4	19	0.00000
Miniimonas sp. S16	2171623	S	28	19	47	0.00000
Beutenbergia cavernae	84757	S	15	0	15	0.00000
Brevibacterium sp. CS2	2575923	S	10	16	26	0.00000
Luteimicrobium xylanilyticum	1133546	S	19	2	21	0.00000
Georgenia wutianyii	2585135	S	10	1	11	0.00000
Georgenia sp. TF02-10	2917725	S	10	2	12	0.00000
Corynebacterium argentoratense	42817	S	229	22	251	0.00001
Corynebacterium poyangense	2684405	S	83	1	84	0.00000
Corynebacterium uberis	2883169	S	60	2	62	0.00000
Corynebacterium cyclohexanicum	322009	S	54	0	54	0.00000
Corynebacterium uterequi	1072256	S	21	0	21	0.00000
Corynebacterium accolens	38284	S	17	97	114	0.00000
Corynebacterium glucuronolyticum	39791	S	14	2	16	0.00000
Corynebacterium efficiens	152794	S	10	1	11	0.00000
Mycobacterium paragordonae	1389713	S	82	2	84	0.00000
Mycobacterium grossiae	1552759	S	73	4	77	0.00000
Mycolicibacterium mageritense	53462	S	53	2	55	0.00000
Mycolicibacterium smegmatis	1772	S	35	2	37	0.00000
Mycolicibacterium sediminis	1286180	S	17	0	17	0.00000
