name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Citrobacter tructae	2562449	S	35	3	38	0.00000
Citrobacter koseri	545	S	27	35	62	0.00000
Citrobacter arsenatis	2546350	S	20	4	24	0.00000
Citrobacter pasteurii	1563222	S	14	15	29	0.00000
Enterobacter hormaechei	158836	S	252	881	1133	0.00008
Enterobacter roggenkampii	1812935	S	126	76	202	0.00001
Enterobacter cloacae	550	S	93	66	159	0.00001
Enterobacter asburiae	61645	S	30	20	50	0.00000
Enterobacter cancerogenus	69218	S	27	1	28	0.00000
Enterobacter ludwigii	299767	S	21	9	30	0.00000
Enterobacter kobei	208224	S	14	18	32	0.00000
Enterobacter sp. JUb54	2724468	S	130	5	135	0.00001
Enterobacter sp. RHBSTW-00994	2742676	S	30	1	31	0.00000
Enterobacter sp. SA187	1914861	S	28	0	28	0.00000
Enterobacter sp. RHBSTW-00175	2742639	S	18	9	27	0.00000
Enterobacter sp. CP102	2976431	S	10	7	17	0.00000
Enterobacter mori	539813	S	87	15	102	0.00001
Enterobacter oligotrophicus	2478464	S	21	0	21	0.00000
Enterobacter bugandensis	881260	S	11	2	13	0.00000
Klebsiella pneumoniae	573	S	296	886	1182	0.00008
Klebsiella huaxiensis	2153354	S	110	7	117	0.00001
Klebsiella aerogenes	548	S	52	12	64	0.00000
Klebsiella oxytoca	571	S	48	4	52	0.00000
Klebsiella quasipneumoniae	1463165	S	44	19	63	0.00000
Klebsiella variicola	244366	S	33	12	45	0.00000
Klebsiella michiganensis	1134687	S	20	17	37	0.00000
Klebsiella grimontii	2058152	S	18	12	30	0.00000
Klebsiella quasivariicola	2026240	S	10	1	11	0.00000
Klebsiella africana	2489010	S	10	0	10	0.00000
Raoultella ornithinolytica	54291	S	162	198	360	0.00002
Raoultella electrica	1259973	S	17	1	18	0.00000
Raoultella planticola	575	S	16	1	17	0.00000
Salmonella enterica	28901	S	499	2036	2535	0.00017
Salmonella bongori	54736	S	47	8	55	0.00000
Kosakonia cowanii	208223	S	104	124	228	0.00002
Kosakonia sp. ML.JS2a	2980557	S	20	7	27	0.00000
Kosakonia sp. SMBL-WEM22	2725560	S	13	8	21	0.00000
Kosakonia sacchari	1158459	S	27	16	43	0.00000
Kosakonia oryzendophytica	1005665	S	17	6	23	0.00000
Kosakonia radicincitans	283686	S	16	20	36	0.00000
